SampleID	Actinomycetaceae	Aerococcus	Aeromonas	Akkermansia	Alcaligenes faecalis et rel.	Allistipes et rel.	Anaerobiospirillum	Anaerofustis	Anaerostipes caccae et rel.	Anaerotruncus colihominis et rel.	Anaerovorax odorimutans et rel.	Aneurinibacillus	Aquabacterium	Asteroleplasma et rel.	Atopobium	Bacillus	Bacteroides fragilis et rel.	Bacteroides intestinalis et rel.	Bacteroides ovatus et rel.	Bacteroides plebeius et rel.	Bacteroides splachnicus et rel.	Bacteroides stercoris et rel.	Bacteroides uniformis et rel.	Bacteroides vulgatus et rel.	Bifidobacterium	Bilophila et rel.	Brachyspira	Bryantella formatexigens et rel.	Bulleidia moorei et rel.	Burkholderia	Butyrivibrio crossotus et rel.	Campylobacter	Catenibacterium mitsuokai et rel.	Clostridium (sensu stricto)	Clostridium cellulosi et rel.	Clostridium colinum et rel.	Clostridium difficile et rel.	Clostridium felsineum et rel.	Clostridium leptum et rel.	Clostridium nexile et rel.	Clostridium orbiscindens et rel.	Clostridium ramosum et rel.	Clostridium sphenoides et rel.	Clostridium stercorarium et rel.	Clostridium symbiosum et rel.	Clostridium thermocellum et rel.	Collinsella	Coprobacillus catenaformis et rel.	Coprococcus eutactus et rel.	Corynebacterium	Desulfovibrio et rel.	Dialister	Dorea formicigenerans et rel.	Eggerthella lenta et rel.	Enterobacter aerogenes et rel.	Enterococcus	Escherichia coli et rel.	Eubacterium biforme et rel.	Eubacterium cylindroides et rel.	Eubacterium hallii et rel.	Eubacterium limosum et rel.	Eubacterium rectale et rel.	Eubacterium siraeum et rel.	Eubacterium ventriosum et rel.	Faecalibacterium prausnitzii et rel.	Fusobacteria	Gemella	Granulicatella	Haemophilus	Helicobacter	Klebisiella pneumoniae et rel.	Lachnobacillus bovis et rel.	Lachnospira pectinoschiza et rel.	Lactobacillus catenaformis et rel.	Lactobacillus gasseri et rel.	Lactobacillus plantarum et rel.	Lactobacillus salivarius et rel.	Lactococcus	Leminorella	Megamonas hypermegale et rel.	Megasphaera elsdenii et rel.	Methylobacterium	Micrococcaceae	Mitsuokella multiacida et rel.	Moraxellaceae	Novosphingobium	Oceanospirillum	Oscillospira guillermondii et rel.	Outgrouping clostridium cluster XIVa	Oxalobacter formigenes et rel.	Papillibacter cinnamivorans et rel.	Parabacteroides distasonis et rel.	Peptococcus niger et rel.	Peptostreptococcus anaerobius et rel.	Peptostreptococcus micros et rel.	Phascolarctobacterium faecium et rel.	Prevotella melaninogenica et rel.	Prevotella oralis et rel.	Prevotella ruminicola et rel.	Prevotella tannerae et rel.	Propionibacterium	Proteus et rel.	Pseudomonas	Roseburia intestinalis et rel.	Ruminococcus bromii et rel.	Ruminococcus callidus et rel.	Ruminococcus gnavus et rel.	Ruminococcus lactaris et rel.	Ruminococcus obeum et rel.	Serratia	Sporobacter termitidis et rel.	Staphylococcus	Streptococcus bovis et rel.	Streptococcus intermedius et rel.	Streptococcus mitis et rel.	Subdoligranulum variable at rel.	Sutterella wadsworthia et rel.	Tannerella et rel.	Uncultured Bacteroidetes	Uncultured Chroococcales	Uncultured Clostridium (sensu stricto)les I	Uncultured Clostridium (sensu stricto)les II	Uncultured Mollicutes	Uncultured Selenomonadaceae	Veillonella	Vibrio	Weissella et rel.	Wissella et rel.	Xanthomonadaceae	Yersinia et rel.
Sample-802	99.8559124834935	49.6803315808076	42.6779620626392	5282.04366978383	169.049533701576	5205.20621220321	42.9328884030796	68.2121241642517	16778.4153149523	873.663715861896	3263.28059247395	60.6174468589087	48.2311629381032	44.5597530203854	98.4513033517727	138.132991532691	2190.76208419717	343.36114875581	2186.25845013011	1439.44830216422	1008.93817904437	917.75816438521	3233.32961071328	26422.2932084849	25216.9634531936	135.974676152665	85.4778081484924	5528.04981036128	235.981070940961	57.698313997188	10461.932265275	340.646329104296	114.793494887003	1851.37471227849	12287.4794813604	886.382950974251	2750.4517342346	44.348192687302	24094.0728987616	11574.923094464	25506.5940100017	483.927586028246	9626.0405350617	313.999877903404	7091.55470459359	42.5480420627118	3376.21901134468	752.529269605128	60152.8153201612	133.892675187511	219.42802479792	316.582331319398	22919.3729495968	378.173714853531	574.252450167057	332.059414547029	581.983088469555	2416.39327594615	218.930272927341	8238.35698492385	142.99119157335	4342.0627839502	286.868332860331	6933.27294683156	31272.5840030397	388.593268085121	50.9145019339356	86.8626504118216	84.2305818739965	214.07612640846	302.684952030361	2057.49550023855	30781.7805869443	85.793863269634	3329.08468850286	827.962754628876	142.155894732441	684.689274219102	46.1177870356275	125.817005094835	259.180921363841	45.695962246709	43.2216269560728	130.846172589012	88.9750201579751	48.4006714623026	180.179371746889	72396.1131364005	6376.17304507493	1124.40043057182	2105.563060088	1777.55652324923	215.90949901628	47.6719294562479	220.968547515123	346.70894030038	857.098489556943	374.581970272411	108.486258064038	671.798447453188	135.543227142112	345.944287120895	86.1721928859147	1544.36641460418	36021.8900973698	17839.7187038453	10703.6451959459	1907.29348036434	80509.7746302514	45.2785511304687	22289.0013183311	91.4653334771338	13681.581761065	683.361485954686	4698.29089574572	35331.8226031563	681.868611608299	886.948129457917	76.2256417178849	42.716703570355	7537.57807892247	2208.51354503879	627.382714571256	41.9350728030475	200.450086794707	204.152867173646	245.326630041158	224.264017468	117.986802374304	182.611269664994
Sample-803	120.556706807819	61.820635591052	62.2363705564562	2298.86630399223	218.417987527554	6601.33032282901	58.9781774486365	86.9866715965186	13312.2155976138	936.218284626588	1910.74927457337	70.8318329767575	82.3617809329502	60.8782559095722	124.310582416976	212.473616221188	2748.47161219921	199.043235227406	8940.9239719119	2132.16722914508	1790.80821474228	981.440940183194	6609.53068954291	47186.4366198731	9177.13599455844	201.958196615467	115.934072482157	6158.5668845141	272.939299442755	91.1286526464056	13308.2976236145	453.630212552384	118.018748540824	1554.03754833508	6593.14382149136	911.804671174039	1165.30376090688	55.5650044189386	11450.7719267895	7677.64799025544	10739.22504016	361.557634087845	7477.04028447667	1121.18991451154	7761.78556206431	58.3427721366966	370.607035413679	545.664572264769	52543.8930799338	184.275647942969	308.71688325562	351.193887218238	14223.4492652804	430.358776586991	672.117274548993	431.670212945465	986.219906860372	2080.61350480261	295.411195635586	5259.98740747093	193.760390377828	4691.61538909414	435.068036298124	1332.68433335866	70950.7593042617	531.921369325728	57.1248935458226	71.3940646364696	111.443572696333	277.48453751257	395.788718141026	5680.67649705988	15626.2645321136	106.922017559483	711.37338905869	1070.32726044463	178.866020859164	213.252889579729	66.6647907517329	173.74202673397	479.347004265105	64.9854606111048	59.5391129564554	166.189874203183	114.2850285327	72.5084266593985	230.315904750516	5862.73822703773	9096.75462889288	1088.16108925404	1937.00228836237	1233.86784454725	249.099275149222	60.7696793583012	291.145083165986	536.237021204473	1164.29764257128	566.904614683915	159.248937614604	980.185247732666	195.302985154254	469.095611032197	109.466443009361	1289.02157246125	6682.64958858739	1418.30093349456	2441.91429555134	5096.29222868888	96891.6385794896	66.3967861891365	5637.93207530409	126.877556900441	2817.91400010383	394.449332145756	1195.36407869906	25340.3741580627	1148.52669114878	1697.29511488172	104.801379151519	56.3665033909997	1737.50626223259	2067.05633835858	962.842842791045	55.9021652676029	223.290168853421	288.476025839866	211.636802074938	71.4043279011815	119.379461831099	253.88329193967
Sample-804	107.136332906565	56.9725915698384	63.9373273787547	3532.67193113073	207.116784498505	11745.3766633922	52.0527448107277	83.1506133934586	6090.99704016878	1648.36131838365	1252.69595957911	70.2429673733558	101.42536199646	54.3478261823998	116.552898615017	171.039314290784	3971.30021366177	142.533258112799	3800.06065180874	3489.13479697755	1956.81501622174	896.063127817425	2877.67713961657	7186.74731420612	38273.0258999158	166.942067430465	105.225900728142	8990.62934106549	235.676482186819	83.6206143809936	9653.6061161475	397.283147096956	114.745035877909	2980.97857249465	30644.0958465202	678.953778527879	9406.68342927485	61.0029770233589	5814.04048922696	7412.94937277909	8915.69069461859	327.085689810043	7899.63214340743	2011.24836501699	9587.49820005392	52.7672203896179	2787.62862534401	419.767931966727	19736.7804539655	155.278690676272	263.501793710492	1154.44232854464	23448.8114291266	678.339428272081	834.21441872645	387.570872515169	715.437243198496	847.912418732122	268.72948883627	6080.34353247505	177.258757852789	3878.14292028834	649.062885577204	5200.48575484075	112662.198071186	469.254667671451	52.729297372673	61.4346209262018	96.859408841793	264.199814774878	390.176639384303	8330.673583072	7795.28482799604	97.1629755008712	1343.27848160206	1116.29800539156	161.279792836557	153.822457228342	58.2174930900309	150.707895871643	573.514999918282	55.6945476541797	49.9952203567531	150.381322712766	98.7278560472064	58.1814825307804	209.575217276058	45392.8796569701	4804.38164276736	513.478523078246	4258.60702481641	2109.13612775669	1138.09187263525	54.8199285535442	249.34828548363	396.446281319619	358277.896021901	51250.128628252	155.551109494662	770.991857040343	165.943560326789	428.729550152568	107.92716694924	3284.62658897749	8627.00167572314	13694.2483234396	1885.25412504822	680.475679445466	33173.0644767865	67.1464038281027	8283.90186520925	107.38598644046	1916.18831981515	302.691700581692	1118.88699718235	33077.3118565357	1578.42762402813	1988.33176523832	122.832846551768	54.3777387166714	1620.47580861961	5837.05700080325	982.751859965764	68.8304796343712	219.238228447889	283.883129928839	189.439121215241	157.328683922335	145.558768641931	221.209906477212
Sample-805	127.079591268552	60.0452923625339	84.0072305976878	13739.8444275514	271.528687463523	5268.39814483128	53.9609962674398	119.732693439608	24302.6320478985	1731.99673234629	3092.23063258679	82.0350235388283	171.430961075923	55.8687688729854	123.760237727606	195.437481064754	3550.39884815074	1608.37287376173	3439.62006629368	2694.35888409851	1648.68010239927	1416.95479081045	13029.100296653	56113.9267136988	34512.2138235195	172.718832555736	103.789125110803	12597.5267600407	368.243196172954	116.77662362171	23273.2121483663	427.819180481004	1360.04315955457	1608.21671553768	34756.0052764579	1744.1338315707	2272.10355068498	56.2807528549442	8914.9939522253	10524.2675806715	34816.1721130136	422.788135749908	44863.2031300189	7175.01485212685	25978.6230231196	54.0420290183117	2116.82759466843	539.618662411192	74782.5354995236	173.903970850206	286.216973297429	33859.3490229002	32392.4770903491	572.210361627103	955.75287416738	442.582700864078	911.238582044581	7296.30469435078	270.613401959783	13070.9025943527	214.695337498152	4703.63990002226	1831.85096874697	2407.89940512784	41085.1586550456	503.899217412802	64.176673984246	83.6949892249182	105.796369493152	275.074399648802	462.771304342489	12798.2805489703	19089.4182151969	285.501402512322	742.380498973935	1049.99416150933	165.114622755597	160.262929840416	90.1973790133353	153.597997596998	455.341561130343	51.602024342866	55.0390101386532	157.46130092455	110.531880231498	63.4004546220653	241.190081823791	103509.901705661	31879.2066352807	1082.73223812315	9951.98285883629	3409.56200565088	264.097906580242	55.9277391886918	308.130185977617	425.752951667267	33707.0072471952	8949.27584059451	186.247275054973	1347.29592877902	191.254878360783	478.857858782853	111.329154185721	3873.6616314793	6226.61610196759	7141.96374664312	9112.6354141107	14344.2499541036	117460.960413819	104.331935957962	100743.459220415	127.765419241474	11061.9931993931	582.726220453508	4052.18928028728	26088.574107115	1899.97487082237	2034.4650835203	111.425489767941	65.1886740588159	10981.7949854435	11040.3516597958	806.657778074639	467.000385646788	369.785142472561	346.943429135599	187.082896067386	91.2736712574769	173.19759741852	247.567181008286
Sample-806	137.60145849105	58.3404021293364	66.5780576017511	1582.4203368392	258.354185605353	31221.3142846904	59.8888060826237	78.7226858240495	5099.98462687285	2120.2732249303	2561.22194424152	84.6821883276424	78.1947803374435	60.587208173458	141.71289248824	187.965875744328	3251.42845082598	910.979584772827	1941.12235676402	2183.14687536665	2398.95028215965	917.796763761812	4939.6347097764	37788.4497502999	5513.76352434424	231.662637488911	115.658550959008	6664.90543391718	270.250968257386	96.6348974742317	4343.03476259784	464.928400126539	145.302031884005	1994.7877383326	17019.8315375207	876.025174550064	2188.75208484856	66.6112326270431	4310.59419513163	1211.40071821114	20723.3018265085	399.479624369474	4530.08299075407	2398.57047899779	9302.82246327347	66.6367771218631	470.271120282675	583.705160978478	6534.64569880282	178.25785740789	660.56703660409	364.926307929861	6022.99213218344	407.851004953403	613.267840604295	507.026811127343	858.62868387765	971.538376377015	290.937552998992	3551.4605211284	188.156518468601	1160.31631927394	389.362300411074	3906.46736187682	127243.169368084	528.289201982841	59.0920181891392	65.1633186936218	118.644958131671	288.603876873614	393.754957467323	2011.53926652767	7868.41423988177	131.734939622934	787.234449670726	1088.0009133141	176.895362291561	189.524880933764	61.9082885820622	175.493867912318	359.419118526565	69.6161143105079	59.2442948417225	175.990551432285	124.648614709213	79.2986118917535	533.61415323	202340.668904523	4226.01864101343	859.086745249966	8084.38202337998	5789.76901286728	433.517925061203	63.0001429831102	294.346521209483	1211.05664912729	1231.19398509607	497.812438925229	153.543228000407	1004.89258161031	193.795601578341	468.6725277047	123.765847573587	597.201122718834	4483.2142990262	8012.17564498309	2777.87485594653	864.398779058106	16731.7184629662	122.598403792901	43042.7324730742	126.146143377159	6256.78380074105	397.737333155351	2061.35840168231	35460.7646243761	4615.87182306285	4198.02441404992	271.98014085651	79.5724145184778	9306.90364468827	13817.4545542861	1011.03829740799	58.9589285994187	303.697239057714	280.835909990006	185.062512195225	69.7953922481419	190.989692031897	245.38070675281
Sample-807	105.919589515975	54.3982073139406	51.4290887567691	5397.75284310639	188.289382804727	17379.4679077141	45.158933451181	109.272187361495	35835.6247768634	2228.28796087044	1802.17588913359	78.4003128407993	132.589677372203	46.3280469046913	98.9549004788009	161.366505108569	3063.14345432158	403.141691782016	3116.2302992357	4789.2861211955	1600.40918468407	1516.59638590266	3635.92786130556	31941.7172292964	26617.2820887301	159.736628766874	88.4283706217565	15021.2165125433	209.892297854298	79.1804392635446	37634.3220263574	349.77757940489	104.83919294612	1456.87700318021	16126.0069982022	2088.03573657394	1718.45794928542	47.4881433116457	6514.82439466738	9774.1943835726	19726.6464075245	302.794916515593	8542.84609770512	731.321092844288	17394.8511331666	46.4900099167236	2291.17312079484	396.240113857327	58956.4536710297	166.161796798329	232.391312484777	273.866530949777	19368.9597144465	718.10200752028	713.442776005233	359.614366598693	848.443883969253	1998.99389913928	221.242283167874	17493.5243615873	174.122031559039	5614.64436855115	1075.16123186674	8909.49741019204	206773.648052524	412.955853484822	51.6163111985556	97.1897606261691	90.3016116093609	229.586174078863	423.436833069813	8738.68178539622	21226.9694442434	82.0960643186266	624.89738074263	982.899416108272	170.268372434604	129.217724062823	69.0062464531242	129.3804842739	260.345912422049	52.3691922414024	45.6516152117077	138.29168349179	85.6897355609037	68.8108834459459	292.682639598735	131772.596474413	25497.3914882175	636.307156285543	11301.7163094645	10545.1544382977	364.053973427458	45.4071344215098	217.207838090522	1563.96999859965	1028.68255093801	583.458582222468	146.214417663	1352.37916569531	153.458475281964	389.31224923424	97.1333932195741	2510.81177075856	8083.6313962013	15216.7894772131	10624.0934713196	1240.37700017238	105923.214515676	85.8212114438395	29330.5354303202	105.78644654561	8740.79676602622	516.886150381406	3057.47490927338	42567.0425191785	2997.99052723159	2700.38577932372	1396.42468454595	105.492218774775	30599.633279272	12192.5931961975	1024.45465897156	42.2237891571726	213.101078221213	252.405132245083	167.935026478346	91.1372420762785	105.344136611208	202.568258128851
Sample-808	87.0712304407239	47.5443368828813	54.3065924043924	17980.3911474751	184.632383068416	11773.0183147682	41.1159143128982	80.8331215105356	10756.3003035665	1151.43254395549	694.09539969235	60.0485413525682	50.7888497033024	42.4615113599749	90.9818535065555	143.162793359509	4825.28279229559	1168.95063741027	7687.57056132747	1292.5868171466	2066.46185519091	918.965068029273	802.193896520766	152689.689562704	3526.23092630019	130.060043650392	81.9542447147401	16680.4680695614	204.097782234836	65.3766901436973	29209.2390947123	331.244371775982	101.484742349262	1320.87652151097	37518.6392803033	731.503419607692	1207.57864387482	44.3493185751319	11711.9306941583	11465.9781727679	8613.41578633687	267.838032915857	8203.96927454814	2624.51873228604	14770.596390498	42.8608243602575	321.153124615887	411.490998930346	30664.9242119567	132.391777394767	216.591267917929	4095.28086030958	15353.0712550091	315.706880215033	595.115179698875	317.348317300742	575.471704665305	1677.53262021758	209.277944856495	8712.7538182513	148.214676946268	9298.62715698801	1110.91108175752	3570.4836355139	170605.850325013	390.462242065075	42.0983055576788	61.4491199874789	82.6857177066643	211.683147712229	283.793136425845	2690.90519718927	8103.54500874971	79.9491351001022	561.574513366939	863.033520551458	162.104536459019	123.762220069128	63.2495240368932	122.008915100418	287.619978954043	44.544060450247	41.9907951205298	120.669002025071	85.3700535684928	49.1094412904701	175.298806734856	39692.709732254	7648.79697634077	1229.83435651874	4014.40085992522	6025.51090752058	253.526649914146	42.2062827874633	206.155110918811	341.325224308662	768.970992248508	622.765039745845	125.686941117802	3887.05009503865	161.835551067995	356.095402171255	82.1235421825795	3691.10831479575	9921.42770118052	13320.161236015	1840.72421774063	3135.13431529012	61022.5957628549	49.9720375334334	10426.9916253774	90.0839272068839	5535.43525795764	336.454891011904	1930.30004442087	52117.2251594068	2122.45294458874	1873.76180900714	76.3032336826253	46.1670986596235	1995.90737989503	2722.30844915878	650.705595138049	68.2502714018503	254.81879526973	196.106168209266	147.93836444157	65.8934115002787	92.5191330667987	180.177903343267
Sample-809	78.382432159759	37.6862397252967	52.007473649299	11280.344810612	149.184525826043	15560.1655453818	35.8745470340103	98.8929650712867	50171.4337545143	2368.76268083032	2934.53534298752	64.3460372604851	41.3869432741311	38.3138869756973	76.9460576762484	139.697581130732	4226.56383444968	157.506869021364	4692.80837784591	2896.55587090473	2213.8100553715	887.208134701932	7379.39133156043	20618.6971910928	40522.3071007688	118.611264326276	73.1311536209858	6148.73265088876	346.57128052865	69.1406255520876	11736.259158354	286.562932557611	117.722932387789	1264.01236972316	27455.6586361754	873.151955998599	2130.77207613666	39.3841399424058	70942.2162535674	3301.20061784016	23338.7139122802	367.702128448911	4695.35867921369	3615.53471808402	33025.963104801	36.2021659051304	326.726831191996	570.136803309539	4219.29946243198	122.196445160551	223.776185127663	60111.2775839039	23207.7737143877	391.202827599859	592.579300426057	278.075300162251	539.511619110575	343.772856516651	206.28321193997	27899.2323416887	343.836629367344	1088.48942399311	199.16483847755	14644.1901368439	148185.765329965	334.08957743228	36.8922591503026	41.4093046968392	72.1365239894729	182.0030821614	299.169006346981	1298.51361155421	3442.56291242614	71.9170388979852	506.694069924657	719.834608785247	111.878688308494	111.091003641902	37.7907519513129	106.398158018551	259.173654707647	36.8023648386466	37.2543441929701	106.900621252777	72.4483573017933	42.313583322451	184.424514445307	24120.0741635375	2503.33066508492	1426.45431845408	835.783055476155	1799.08056600876	347.309409164105	39.4886852735453	188.040185101447	294.124200079188	920.992005759009	432.42126402985	100.63173592052	732.030207504865	125.267282347977	299.727294762521	73.6343074405892	7847.32855491012	29534.6925399721	30602.6354871407	4423.07978074682	400.62855119699	126379.584272844	39.1584547032514	39250.1141649986	81.9770226568209	2233.5293408329	273.951553891762	959.137394947608	8780.26740718697	1237.22395686466	3595.64019794059	188.894544195102	99.5265477915202	1827.48004826785	9145.38148601937	564.484440054068	1052.87271842174	177.935432401931	210.559653490404	165.505595932624	65.6585633276201	84.2863833151634	169.196622274333
Sample-810	138.20524697272	64.6143418078659	69.4905162535867	2463.79333530238	272.847815074209	2525.83047438018	58.6354789304519	87.2828967059623	11651.0975079089	1560.55322375809	868.544244142094	75.054705141207	98.8039932616512	67.1943331164623	119.903098602136	201.673334756868	1602.02078290018	389.468027209837	1410.51037896736	656.043609737453	1110.07382170065	467.977458293682	658.522663983496	5578.85554502305	17874.3066872805	184.90187905083	113.032677477181	13689.1291896025	252.895171371333	76.9340439910387	6414.27654790065	459.902256715884	134.066969770591	1720.20769791473	7939.91334047476	1636.92508565573	1294.77654061337	63.9274722384545	3407.73787104143	1962.18115202474	9170.14973026044	454.212601053207	5690.23027244961	2003.73920561882	8775.1142706059	61.9101429530769	1284.35094854886	569.618882821002	18734.890557926	191.831905299137	310.435724224759	352.328221413487	7450.97750339498	802.451385794405	658.708369855546	462.161624697478	976.315463216241	1303.18682097916	286.692854947318	2749.37615228057	199.526627628643	2595.61137812461	488.816039476194	1324.51326263928	84324.2878890978	540.31773773189	59.8164702490813	78.0264303404538	118.98333627399	316.324759136969	430.449942914147	1508.60175121687	10069.8314988702	111.097491054519	790.961304956016	1089.41169667772	186.996464109592	198.203017504192	62.5520541203905	173.393232705684	343.622872011836	58.1844042651178	62.1423513978881	183.31901666681	124.842228546251	80.354382649802	234.245537030392	16008.3451001475	5175.16169890313	647.651840652282	5241.30411620985	986.454400769261	351.710230992773	66.0840863381956	291.526678887152	480.672371088582	1233.79688996685	432.531158216868	141.273929946666	378.107129754022	195.909234986388	502.36373886542	127.086573125133	1573.45618839482	1533.81745611537	6550.83715348746	3875.4601011235	550.544720525667	33436.4755244216	174.321880042436	9516.04744120796	136.17739778406	9929.59211874273	472.200082188527	3178.097914269	88355.2665755785	780.57285327348	875.316760306846	74.3125585917463	71.5359955633221	7153.44245447159	10037.8410755951	1087.16537477654	57.1310657316755	339.513946921705	300.595669281115	200.097668168215	79.1766840948223	226.007626498116	261.987281208143
Sample-811	122.033179360195	49.709388639377	61.1972046233352	7352.24539289132	218.582720291686	6657.33800108939	54.2121949135941	92.7348118286477	16281.3095984325	1274.74600549406	2117.55682054384	75.4955188225635	69.152691975865	57.1097127723689	133.144415738909	185.235602660178	2544.68068647083	105.812336780991	1851.42149336935	998.136349708698	1357.04036407627	683.180122853122	839.964290801431	6613.79170845188	32072.888334861	173.665689496149	110.208962488549	9060.99569048031	246.976950977333	76.1559223786042	17303.7393872463	420.78580887988	121.32051744934	1567.17983336719	21308.6578974647	976.101167086701	4563.27737364076	58.5425003346262	7787.05859314228	4285.9878049694	10560.9490901804	351.753067991747	7397.32787693997	961.578175863497	12266.6999142911	63.9591852468999	1542.06535159006	409.989129421028	7919.28946301446	162.943413171229	278.646770455164	15785.950122008	11073.2017458104	990.228176511599	766.8219872595	407.697452125507	772.588997452541	531.421246255977	269.503255937578	5615.38939249852	191.173536164586	3368.66873619299	894.102857189327	3716.08683632337	33812.3770094163	515.69048740656	52.2584506898498	58.4087241094352	106.317048382934	276.004514882071	402.29776555762	7158.0853688943	4550.8128075792	100.114074020034	762.157059715276	1042.477486769	221.802185095567	159.09200002425	67.2021508138058	158.17865379303	342.224709396668	58.1174348479454	54.7226912852988	153.382323070117	105.067053545325	64.1177057686048	277.96646570538	175369.338714641	7094.71731446532	779.547497675832	5629.45725363842	1429.96779206087	280.986652007563	57.9415768677178	269.757015349448	1046.54904040756	8176.31719557041	667.504397169123	141.704220103791	721.786954192704	172.024457273179	455.276568492777	109.005673135728	1462.18769548338	6591.30263963173	2760.426563326	3121.29187076159	587.387503839537	29564.4390390212	56.2889174086704	36504.0065683281	108.53445278239	1787.3825980547	274.39339425692	715.899563337272	96347.4710065057	789.215929020699	1286.22355726875	116.244913603185	58.0262611908624	17699.230734724	12121.1862378609	1282.19731424763	242.381787122603	242.112227391058	284.484764701728	192.603864956539	67.2025189791115	127.815780082806	229.667280012023
