colony,tag_id,body_size,age,foraging_events,group_period1,group_period2,group_period3,group_period4,visits_brood,visits_entrance,visits_rubbishpile
18,610,141.792,40,0,N,C,NA,NA,243.545,0.454545,0
18,635,161.375,50,0,N,NA,NA,NA,48.4545,6.18182,3.18182
18,647,135.96,40,0,N,C,C,NA,1386.45,0,0.636364
21,9,145.362,40,0,N,N,C,F,161.455,0,0.727273
21,13,167.057,40,0,N,N,N,N,102.727,0.181818,3.72727
21,17,150.376,40,0,N,N,N,N,693.364,3.54545,3.18182
21,20,170.423,71,0,N,N,N,C,154,0.636364,1.18182
21,23,234.77,204,0,N,N,N,N,17.3636,0.272727,1.54545
21,30,224.722,50,0,N,N,N,N,103,0.181818,0.181818
21,35,136.62,57,0,N,N,N,N,449.182,1.63636,3
21,43,171.283,64,0,N,N,N,N,229.455,2.09091,4.63636
21,53,151.212,40,0,N,N,N,N,464.364,0.454545,1
21,60,134.082,14,0,N,N,N,C,419.727,0.545455,22.6364
21,62,185.194,57,0,N,N,N,N,87,0,0.363636
21,68,146.031,5,0,N,N,NA,NA,571,0.272727,1.09091
21,71,166.859,57,0,N,N,N,N,423.727,1.27273,1.27273
21,72,144.506,40,0,N,N,N,N,289.545,0,37.0909
21,74,184.678,5,0,N,N,N,N,395.091,0,0.454545
21,96,178.241,57,0,N,N,N,C,96.6364,0.545455,8.72727
21,97,152.971,40,0,N,N,N,N,750.455,1.36364,1.54545
21,105,169.614,64,0,N,N,N,N,417,2.45455,0.727273
21,115,168.181,40,0,N,N,N,N,598.364,1.81818,6.90909
21,131,136,40,0,N,N,NA,NA,300.273,7.72727,1.81818
21,137,207.039,50,0,N,N,N,N,344.636,1.81818,2.54545
21,158,201.693,40,0,N,N,N,N,215.364,0.454545,0.545455
21,159,196.848,50,1,N,N,N,C,21.7273,0.636364,1.72727
21,172,196.084,197,0,N,N,N,C,202.818,0.909091,0.0909091
21,175,151.397,40,0,N,N,N,F,497,0.818182,0.272727
21,178,190.318,57,0,N,N,N,N,73,0.727273,1.18182
21,191,167.296,40,0,N,N,N,N,415.727,0,3.45455
21,206,152.086,40,0,N,N,N,N,32,0.0909091,2.81818
21,212,137.441,40,0,N,NA,NA,NA,428.727,4.45455,2
21,217,174.244,14,0,N,NA,NA,NA,341.091,2.54545,1.45455
21,219,159.289,40,0,N,N,N,N,121.818,1.54545,2.45455
21,242,161.245,50,0,N,N,N,N,350.364,0,0.272727
21,244,151.427,40,0,N,N,N,N,301.909,0.909091,2.18182
21,264,133.36,14,0,N,N,N,N,427.091,0.636364,1.09091
21,289,158.446,40,0,N,N,N,N,81.8182,3,2.18182
21,301,178.539,99,0,N,N,N,C,318.455,4.72727,0.909091
21,308,155.077,71,0,N,N,N,NA,59.0909,0.272727,0
21,329,177.924,57,0,N,N,N,N,487.545,0.0909091,0.909091
21,334,173.416,57,0,N,N,N,N,139.091,0.727273,0.181818
21,347,177.133,40,0,N,N,N,N,255.455,1.45455,0.363636
21,356,163.218,5,0,N,NA,NA,NA,405.273,0,0.0909091
21,390,179.424,57,0,N,N,N,C,43.4545,0,0.636364
21,398,146.328,40,0,N,N,N,N,170.455,0.272727,2.63636
21,492,167.431,5,0,N,N,NA,NA,470.909,0.363636,1.36364
21,501,170.135,14,0,N,N,N,NA,284.364,2,2.81818
21,540,175.96,40,0,N,N,N,N,399.545,0.454545,0.0909091
21,556,133.6,40,0,N,N,F,F,430.273,1.63636,2.90909
21,564,170.699,57,0,N,N,N,N,610.273,0.454545,1.18182
21,576,126.384,14,0,N,N,N,N,953,5.63636,4.90909
21,580,142.004,14,0,N,N,N,N,1175.09,0.0909091,0.909091
21,599,166.508,5,0,N,N,N,NA,321.909,3.27273,1.45455
21,607,178.34,71,0,N,N,N,N,293.091,0,0.0909091
21,610,151.327,40,0,N,N,N,N,406.364,2.72727,1.45455
21,614,153.222,40,0,N,N,N,N,648.727,1.36364,1.18182
29,0,140.089,14,0,N,NA,NA,NA,142.091,1.90909,2.63636
29,4,138.405,14,0,N,N,NA,NA,281.273,0,0.454545
29,6,184.556,57,0,N,N,N,N,256.636,3.27273,3.18182
29,17,137.612,14,0,N,N,N,NA,194.091,0,0
29,24,149.482,14,0,N,N,N,N,507,0.272727,1
29,44,225.4,14,0,N,N,N,N,515.636,0.454545,2.27273
29,59,138.798,14,0,N,N,N,NA,345.182,0.545455,2.72727
29,62,148.93,14,0,N,C,NA,NA,391.727,3,5.36364
29,71,142.78,14,0,N,N,N,NA,246,0,0.545455
29,73,162.049,14,0,N,N,N,N,107,0,0
