Year	Herd	Perc_snowcover	Week_snowmelt
1993	CBH	0.6716	23
1994	CBH	0.6716	22
1995	CBH	0.61464	21
1996	CBH	0.73367	25
1997	CBH	0.69083	25
1998	CBH	0.63314	22
1999	CBH	0.69749	25
2000	CBH	0.73003	26
2001	CBH	0.69739	24
2002	CBH	0.70266	25
2003	CBH	0.67899	23
2004	CBH	0.70636	25
2005	CBH	0.73299	27
2006	CBH	0.65237	24
2007	CBH	0.66401	23
2008	CBH	0.67899	23
2009	CBH	0.66198	23
2010	CBH	0.65533	22
2011	CBH	0.64201	22
2012	CBH	0.62627	22
2013	CBH	0.63683	24
2014	CBH		22
1970	BLW	0.70037	26
1971	BLW		26
1972	BLW	0.74256	30
1973	BLW	0.70603	27
1974	BLW	0.73108	27
1975	BLW	0.72674	26
1976	BLW	0.75124	29
1977	BLW	0.78629	29
1978	BLW	0.68921	28
1979	BLW	0.66799	27
1980	BLW	0.73666	27
1981	BLW	0.71185	27
1982	BLW	0.72922	26
1983	BLW	0.72581	27
1984	BLW	0.65977	24
1985	BLW	0.72612	27
1986	BLW	0.73728	27
1987	BLW	0.6371	27
1988	BLW	0.68517	26
1989	BLW	0.73883	25
1990	BLW	0.70694	26
1991	BLW	0.69727	27
1992	BLW	0.75806	27
1993	BLW	0.71433	26
1994	BLW	0.6951	27
1995	BLW	0.69634	27
1996	BLW	0.75228	26
1997	BLW	0.71495	30
1998	BLW	0.66811	26
1999	BLW	0.69541	26
2000	BLW	0.74194	26
2001	BLW	0.74924	27
2002	BLW	0.74287	26
2003	BLW	0.73015	26
2004	BLW	0.73883	26
2005	BLW	0.74566	27
2006	BLW	0.67246	25
2007	BLW	0.7045	25
2008	BLW	0.70068	24
2009	BLW	0.67959	24
2010	BLW	0.67928	24
2011	BLW	0.69045	25
2012	BLW	0.64242	23
2013	BLW	0.67928	24
2014	BLW		24
1970	BAT	0.66705	24
1971	BAT		24
1972	BAT	0.73378	30
1973	BAT	0.61355	25
1974	BAT	0.68049	27
1975	BAT	0.68906	24
1976	BAT	0.71594	30
1977	BAT	0.68628	26
1978	BAT	0.73842	32
1979	BAT	0.75472	28
1980	BAT	0.66057	30
1981	BAT	0.69266	26
1982	BAT	0.70945	26
1983	BAT	0.74212	28
1984	BAT	0.67174	24
1985	BAT	0.71652	27
1986	BAT	0.73772	27
1987	BAT	0.70262	27
1988	BAT	0.68188	28
1989	BAT	0.72335	25
1990	BAT	0.67674	24
1991	BAT	0.71478	31
1992	BAT	0.73135	29
1993	BAT	0.71038	26
1994	BAT	0.68976	25
1995	BAT	0.73656	26
1996	BAT	0.71118	24
1997	BAT	0.70505	27
