Herd	Year	z_score_MayTemp	z_score_JuneAugTemp
PCH	1970	-0.361908376	-0.31209937
PCH	1971	-0.196419047	0.177245026
PCH	1972	-0.657900046	0.419744148
PCH	1973	0.198452876	-0.19586808
PCH	1974	-0.29988273	-0.484223144
PCH	1975	0.301968327	0.558885637
PCH	1976	0.266105271	0.851092459
PCH	1977	0.453273312	1.190774124
PCH	1978	-1.398022579	-1.157337063
PCH	1979	0.562546922	0.769581914
PCH	1980	-0.583143533	-0.270715602
PCH	1981	1.088339309	-0.955520508
PCH	1982	-0.694567493	0.159963821
PCH	1983	-1.711201119	-0.280820002
PCH	1984	-0.182863879	-0.736445368
PCH	1985	0.437085956	-0.611331124
PCH	1986	-0.890751075	-0.462776743
PCH	1987	-0.471381092	0.85106984
PCH	1988	-0.014137078	0.251701556
PCH	1989	-0.283552018	1.124563973
PCH	1990	0.824857742	-0.001858442
PCH	1991	1.098461882	0.435051005
PCH	1992	-1.581419543	1.016692158
PCH	1993	0.42998582	1.016692158
PCH	1994	1.185793959	0.208857223
PCH	1995	1.468931316	-0.178903546
PCH	1996	0.347484065	-3.087109313
PCH	1997	0.286370327	1.081318953
PCH	1998	1.441187822	2.685013478
PCH	1999	0.916805108	1.533706517
PCH	2000	-1.346051809	-0.391024844
PCH	2001	-3.535227388	-0.114276751
PCH	2002	0.011408281	-1.50375284
PCH	2003	-0.864660163	-0.598977713
PCH	2004	-0.314588734	0.261379419
PCH	2005	0.137112156	-1.913021406
PCH	2006	0.526162206	-0.588172113
PCH	2007	-0.340743359	-0.103471151
PCH	2008	0.614967672	-0.297351536
PCH	2009	-0.022173015	-1.040559676
PCH	2010	1.444974827	0.758184979
PCH	2011	0.117157707	-0.889617334
PCH	2012	0.08013585	1.554306307
PCH	2013	-0.821426186	0.467364402
PCH	2014	0.011408281	-1.051365276
PCH	2015	2.321043271	-0.146590149
CBH	1970	-0.306722396	0.191285246
CBH	1971	0.177025494	0.083590244
CBH	1972	-0.98099364	0.070987724
CBH	1973	0.54053916	0.445367531
CBH	1974	-0.474001537	-1.697975397
CBH	1975	0.228700704	-0.171693311
CBH	1976	0.215516141	0.064802803
CBH	1977	0.405836162	0.245150333
CBH	1978	-1.762482206	-1.790275736
CBH	1979	0.06152858	0.946383998
CBH	1980	-0.764044084	-0.462522575
CBH	1981	1.028970851	-0.590579657
CBH	1982	-1.039271834	-0.134586492
CBH	1983	-2.021571709	0.730598981
CBH	1984	0.327884575	-0.185080445
CBH	1985	0.513991671	-1.800794971
CBH	1986	-1.008935924	-1.25615939
CBH	1987	-1.314021572	-0.127208417
CBH	1988	-0.3337693	0.962314363
CBH	1989	-0.498490721	2.327861556
CBH	1990	0.447348272	-0.087444733
CBH	1991	1.971923938	-1.276916483
CBH	1992	-0.703514955	0.292311031
CBH	1993	0.18829801	0.562867499
CBH	1994	0.9374209	1.834482898
CBH	1995	1.829233864	0.727291429
CBH	1996	-0.275444732	-0.7087479
CBH	1997	-0.025737102	0.72520138
CBH	1998	2.150286531	2.023872426
CBH	1999	0.152625491	-0.221746258
CBH	2000	-1.595327919	-0.387340344
CBH	2001	-1.692182374	-0.167634964
CBH	2002	0.366660603	-1.574528597
CBH	2003	-0.239772213	-0.600525313
CBH	2004	-0.749942738	0.648244298
CBH	2005	0.172723388	-1.64348803
CBH	2006	0.366660603	0.587653177
CBH	2007	-1.134406874	0.483166975
CBH	2008	0.307772409	-0.529360845
CBH	2009	-0.035083302	-1.205489575
CBH	2010	1.044438455	0.12997715
CBH	2011	0.492070909	0.071577537
CBH	2012	0.430068504	2.343645821
CBH	2013	-0.774895664	0.400533618
CBH	2014	1.115783493	0.04881021
CBH	2015	2.257304087	-0.327878796
BLW	1970	-0.518255314	0.187155797
BLW	1971	0.174259023	0.18143525
BLW	1972	-0.832981338	-0.693736851
BLW	1973	0.546931823	0.845785963
BLW	1974	-0.346847292	-1.535355748
BLW	1975	0.487145134	0.263497589
BLW	1976	0.139363417	0.007670901
BLW	1977	0.429693182	0.618099963
BLW	1978	-1.686832966	-1.925034973
BLW	1979	-0.217607406	-0.028888341
BLW	1980	-0.512230299	-0.614116746
BLW	1981	1.031013391	0.143498126
BLW	1982	-1.008159786	-0.058673686
BLW	1983	-2.07217607	0.505050414
BLW	1984	0.875774293	0.040459533
BLW	1985	0.623211512	-1.59839727
BLW	1986	-0.658708906	-1.574335222
BLW	1987	-1.462081431	-0.66608846
BLW	1988	-0.790363677	1.054536404
BLW	1989	-1.095952864	2.078008172
BLW	1990	0.423337122	-0.077920025
BLW	1991	1.921750378	-1.31553825
BLW	1992	-0.691761115	0.279614129
BLW	1993	0.179409383	0.554640401
BLW	1994	0.911192601	1.84726388
BLW	1995	1.782363098	0.721780742
BLW	1996	-0.273599276	-0.737983078
BLW	1997	-0.029671537	0.719656164
BLW	1998	2.095984478	2.039782271
BLW	1999	0.144562563	-0.242935788
BLW	2000	-1.562931613	-0.407951552
BLW	2001	-1.493237973	-0.187930534
BLW	2002	0.353643482	-1.618067149
BLW	2003	-0.238752456	-0.627972569
BLW	2004	-0.761454755	0.719656164
BLW	2005	0.179409383	-1.172381575
BLW	2006	0.353643482	0.719656164
BLW	2007	-1.179616594	0.554640401
BLW	2008	0.283949842	-0.572967315
BLW	2009	-0.029671537	-1.260532995
BLW	2010	1.01573306	0.114598366
BLW	2011	0.527877582	0.16960362
BLW	2012	0.458183942	2.479824306
BLW	2013	-0.761489602	0.389624638
BLW	2014	1.0854267	0.032090484
BLW	2015	2.200524937	-0.350821719
BAT	1970	-0.950020483	0.115930255
BAT	1971	0.734271261	0.113705178
BAT	1972	-0.738230641	-0.960046791
BAT	1973	1.824629157	1.734245992
BAT	1974	0.120111387	-0.328048745
BAT	1975	1.072380272	0.885866205
BAT	1976	1.069530377	-0.058704527
BAT	1977	0.718368696	-0.385269851
BAT	1978	-1.126605518	-3.021031831
BAT	1979	-0.757409462	-1.732452858
BAT	1980	1.057296772	-0.2447717
BAT	1981	0.682004484	0.257360685
BAT	1982	-0.6096712	-1.1435678
BAT	1983	-3.009660615	-0.283324688
BAT	1984	1.482503365	0.317995454
BAT	1985	0.983476261	-1.614743444
BAT	1986	-0.026998553	-1.441415542
BAT	1987	-1.083763591	-1.467865799
BAT	1988	-1.438788712	0.611221232
BAT	1989	-1.049407769	1.795306061
BAT	1990	-0.554876169	-0.569737222
BAT	1991	0.777161808	-0.050375977
BAT	1992	-0.146492186	0.002304844
