Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Acrocephalus vaughani,Pitcairn Reed-warbler,Acrocephalus_vaughani,46.11111111,39.30555556
Acropternis orthonyx,Ocellated Tapaculo,Acropternis_orthonyx,55.41666667,53.61111111
Actinodura egertoni,Rusty-fronted Barwing,Actinodura_egertoni,41.11111111,43.33333333
Actinodura morrisoniana,Taiwan Barwing,Actinodura_morrisoniana,48.47222222,44.44444444
Actinodura nipalensis,Hoary-throated Barwing,Actinodura_nipalensis,45.27777778,45.27777778
Actinodura ramsayi,Spectacled Barwing,Actinodura_ramsayi,40.41666667,39.30555556
Actinodura sodangorum,Black-crowned Barwing,Actinodura_sodangorum,42.77777778,42.91666667
Actinodura souliei,Streaked Barwing,Actinodura_souliei,45.83333333,44.86111111
Actinodura waldeni,Streak-throated Barwing,Actinodura_waldeni,47.36111111,49.16666667
Aegithalos caudatus,Long-tailed Tit,Aegithalos_caudatus,58.05555556,56.11111111
Aegithalos concinnus,Black-throated Tit,Aegithalos_concinnus,56.25,53.88888889
Aegithalos fuliginosus,White-necklaced Tit,Aegithalos_fuliginosus,49.72222222,45.55555556
Aegithalos iouschistos,Black-browed Tit,Aegithalos_iouschistos,40.97222222,42.77777778
Aegithalos leucogenys,White-cheeked Tit,Aegithalos_leucogenys,46.80555556,43.05555556
Aegithalos niveogularis,White-throated Tit,Aegithalos_niveogularis,48.75,49.44444444
Aegithina lafresnayei,Great Iora,Aegithina_lafresnayei,44.30555556,44.16666667
Aegithina nigrolutea,White-tailed Iora,Aegithina_nigrolutea,48.88888889,56.52777778
Aegithina tiphia,Common Iora,Aegithina_tiphia,40.41666667,57.77777778
Aegithina viridissima,Green Iora,Aegithina_viridissima,44.30555556,41.94444444
Aethopyga bella,Handsome Sunbird,Aethopyga_bella,40.27777778,46.38888889
Aethopyga boltoni,Apo Sunbird,Aethopyga_boltoni,43.05555556,43.33333333
Aethopyga christinae,Fork-tailed Sunbird,Aethopyga_christinae,37.22222222,61.25
Aethopyga duyvenbodei,Elegant Sunbird,Aethopyga_duyvenbodei,39.30555556,51.80555556
Aethopyga eximia,White-flanked Sunbird,Aethopyga_eximia,42.77777778,59.30555556
