species	nstldpr	nstl	krate	kwing	PropWCfldg	Propmassfldg	trips	tripsnstl	cs	armort	lmas	aerial	regurg	site
Ramphocelus_carbo	0.065789474	11.5	0.484567632	0.34956	 	 	6.307	2.867	1.916666667	0.413781978	1.382593317	0	0	2
Thraupis_palmarum	0.028985507	18	0.371900638	0.227998969	 	 	8.108	4.054	2	 	1.54199088	0	0	2
Myioborus_miniatus	0.05904059	10.6666667	0.521	0.363139804	 	 	6.706	4.38	2.136363636	0.20973427	1.005395032	0	0	2
Basileuterus_tristriatus	0.064171123	10.375	0.50975617	0.36408028	0.68537478	1.020287381	6.703	4.155	1.958333333	0.238422453	1.068742293	0	0	2
Atlapetes_semirufus	0.06763285	11	0.461	0.318615637	 	 	3.171	1.585	1.89	0.275210997	1.461468512	0	0	2
Arremon_brunneinucha	0.063011972	14.16304311	0.4105	0.271047329	0.710886485	0.778408587	3.609955894	3.609955894	1.060483871	0.199296699	1.654099498	0	0	2
Pachycephala_hypoxantha	0.0564137	13.462	0.417132358	0.295386466	0.64549448	0.837637238	4.568	2.74	1.945	0.232899801	1.359258569	0	0	3
Rhipidura_albicollis	0.046141607	12.719	0.466978809	0.335996581	0.659717717	0.922561555	16.35	8.175	1.98	0.440287982	1.098030783	1	0	3
Seicercus_montis	0.065703022	14.625	0.45080917	0.304155022	0.774808688	1.054233005	12.258	4.239	2.882	0.307408875	0.8192148	0	0	3
Phylloscopus_trivirgatus	0.059440559	13.944	0.461034458	0.312415655	0.711301086	1.006081397	5.68	3.652	2.273	 	0.983152499	0	0	3
Urosphena_whiteheadi	0.050724638	12.643	0.47869778	0.333504762	0.751068428	0.877940574	6.621	3.415	2	 	1.021350578	0	0	3
Cettia_vulcania	0.041666667	15.8	0.449520456	0.317239402	0.801357541	0.999446343	7.351	4.469	2	 	1.020187198	0	0	3
Orthotomus_cuculatus	0.047976012	12.5	0.49154067	0.364981846	0.756284804	0.999535344	16.797	6.365	2.676	0.349406256	0.841878561	0	0	3
Alophoixus_ochraceus	0.034242424	13	0.441099354	0.333290718	 	 	5.028	2.566	1.812	0.326901325	1.687052492	0	0	3
Zosterops_atricapilla	0.055925433	12	0.500423437	0.374950771	0.747765095	0.8247312	11.088	5.272	1.973	 	0.948618327	0	0	3
Yuhina_everetti	0.054274084	10.987	0.470244768	0.35176	0.665187712	0.793399882	8.091	3.962	2.91	0.345120421	1.122104422	0	0	3
Stachyris_nigriceps	0.097943193	10.5	0.523305249	0.384355841	0.712553565	0.862539198	3.883	1.818	2.939	0.213784749	1.201749334	0	0	3
Trichastoma_pyrrogenys	0.068322981	11.958	0.45304035	0.330096863	0.726404381	0.79487773	4.512	2.926	1.961	0.151680955	1.28872977	0	0	3
Napothera_crassa	0.068495575	15	0.418340154	0.301112703	 	 	4.305	2.758	2	 	1.46433303	0	0	3
Chlamydochaera_jefferyi	0.018867925	18	0.378441534	0.240645104	 	 	2.921	1.565	1.857	 	1.813280681	0	1	3
Enicurus_leschenaulti	0.045081967	15.333	0.409844149	0.28670638	0.71120814	0.894809793	7.59	4.059	2.057	0.252091606	1.580328409	0	0	3
Myophonus_borneensis	0.012484395	24.25	0.30252836	0.217289981	0.754183818	0.874285714	3.513	1.979	1.964	0.274223986	2.105237601	0	0	3
Ficedula_hyperythra	0.043580683	14.5	0.44844761	0.299119661	0.759293414	1.103021173	14.246	8.084	1.971	0.25098684	0.931203525	1	0	3
Brachypteryx_montana	0.04625	18.286	0.405766389	0.282690675	0.837553603	0.953782185	5.718	3.056	1.951	0.210889729	1.31410117	0	1	3
Rhinomyias_gularis	0.029312289	14.7	0.407199463	0.302992731	0.681318475	0.94927548	5.415	2.983	1.971	0.282304849	1.420170366	0	0	3
Eumyias_indigo	0.026011561	17.8	0.391581134	0.292939859	0.738876799	1.01170374	8.628	4.73	1.926	0.181393108	1.201421706	0	0	3
Aethopyga_primigenia	0.041450777	16.5	0.428034464	0.306751811	0.727013584	1.037314128	3.681	3.681	1	 	0.809061168	0	0	3

